STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total_Crimes
ANDHRA PRADESH_PRAKASHAM,2009,0,3,0,0,0,0,76,21,0,65,165
ANDHRA PRADESH_PRAKASHAM,2010,0,1,1,0,0,1,67,10,2,53,135
ANDHRA PRADESH_RAJAHMUNDRY,2001,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2002,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2003,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2004,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2005,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2006,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2007,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2008,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2009,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2010,0,3,0,0,0,0,10,44,0,26,83
ANDHRA PRADESH_RANGAREDDY,2001,2,7,0,0,0,0,8,83,4,93,197
ANDHRA PRADESH_RANGAREDDY,2002,19,8,4,0,2,7,96,38,17,50,241
ANDHRA PRADESH_RANGAREDDY,2003,2,3,5,0,0,0,0,88,5,30,133
ANDHRA PRADESH_RANGAREDDY,2004,1,5,0,0,0,0,12,72,9,28,127
ANDHRA PRADESH_RANGAREDDY,2005,9,6,5,0,0,2,47,102,0,23,194
ANDHRA PRADESH_RANGAREDDY,2006,2,14,1,3,4,1,104,57,4,51,241
ANDHRA PRADESH_RANGAREDDY,2007,5,5,4,0,0,0,7,127,28,46,222
ANDHRA PRADESH_RANGAREDDY,2008,7,6,2,0,0,0,17,219,15,91,357
ANDHRA PRADESH_RANGAREDDY,2009,0,0,3,1,1,5,2,199,6,35,252
ANDHRA PRADESH_RANGAREDDY,2010,0,6,1,0,0,0,2,178,13,41,241
ANDHRA PRADESH_SECUNDERABAD RLY.,2001,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2002,0,0,0,0,0,0,0,2,0,0,2
ANDHRA PRADESH_SECUNDERABAD RLY.,2003,0,0,0,0,0,0,0,1,0,0,1
ANDHRA PRADESH_SECUNDERABAD RLY.,2004,0,0,0,0,0,0,0,1,0,0,1
ANDHRA PRADESH_SECUNDERABAD RLY.,2005,0,0,0,0,0,0,0,2,0,0,2
ANDHRA PRADESH_SECUNDERABAD RLY.,2006,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2007,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2008,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2009,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2010,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_SRIKAKULAM,2001,1,1,0,0,0,0,2,24,11,5,44
ANDHRA PRADESH_SRIKAKULAM,2002,1,3,0,0,0,0,10,14,12,37,77
ANDHRA PRADESH_SRIKAKULAM,2003,0,3,0,0,0,0,3,50,2,52,110
ANDHRA PRADESH_SRIKAKULAM,2004,0,2,0,0,0,0,9,50,0,42,103
ANDHRA PRADESH_SRIKAKULAM,2005,0,0,0,0,0,0,12,36,0,26,74
ANDHRA PRADESH_SRIKAKULAM,2006,0,1,3,0,0,0,15,50,0,27,96
ANDHRA PRADESH_SRIKAKULAM,2007,0,0,0,0,0,1,15,75,1,0,92
ANDHRA PRADESH_SRIKAKULAM,2008,0,2,0,0,0,0,26,78,0,51,157
ANDHRA PRADESH_SRIKAKULAM,2009,1,2,0,0,0,0,18,44,0,24,89
ANDHRA PRADESH_SRIKAKULAM,2010,2,5,0,0,0,0,13,95,0,75,190
ANDHRA PRADESH_TIRUPATHI URBAN,2001,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2002,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2003,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2004,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2005,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2006,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2007,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2008,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2009,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2010,1,0,3,0,0,0,18,35,2,33,92
ANDHRA PRADESH_VIJAYAWADA,2001,1,3,3,0,1,2,146,5,14,98,273
ANDHRA PRADESH_VIJAYAWADA,2002,2,4,1,0,1,0,51,7,28,24,118
ANDHRA PRADESH_VIJAYAWADA,2003,2,1,5,1,14,0,59,4,6,37,129
ANDHRA PRADESH_VIJAYAWADA,2004,2,2,5,0,6,0,49,18,21,31,134
ANDHRA PRADESH_VIJAYAWADA,2005,1,2,3,0,0,0,56,11,5,29,107
ANDHRA PRADESH_VIJAYAWADA,2006,4,1,1,0,0,0,54,27,1,32,120
