STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against STs,Total_Crimes
ANDHRA PRADESH_SECUNDERABAD RLY.,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SRIKAKULAM,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SRIKAKULAM,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SRIKAKULAM,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_SRIKAKULAM,2004,0,0,0.0,0,0,0,0,3,0,0,3.0
ANDHRA PRADESH_SRIKAKULAM,2005,0,1,0.0,0,0,0,0,3,0,0,4.0
ANDHRA PRADESH_SRIKAKULAM,2006,0,0,0.0,0,0,0,7,30,0,27,64.0
ANDHRA PRADESH_SRIKAKULAM,2007,0,0,0.0,0,0,0,1,11,0,0,12.0
ANDHRA PRADESH_SRIKAKULAM,2008,0,0,0.0,0,0,0,3,6,0,2,11.0
ANDHRA PRADESH_SRIKAKULAM,2009,0,0,0.0,0,0,0,3,5,0,2,10.0
ANDHRA PRADESH_SRIKAKULAM,2010,0,1,0.0,0,0,0,1,11,0,9,22.0
ANDHRA PRADESH_TIRUPATHI URBAN,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_TIRUPATHI URBAN,2010,0,0,0.0,0,0,0,0,0,0,2,2.0
ANDHRA PRADESH_VIJAYAWADA,2001,0,0,0.0,0,0,0,31,1,4,14,50.0
ANDHRA PRADESH_VIJAYAWADA,2002,0,0,0.0,0,0,0,18,2,2,6,28.0
ANDHRA PRADESH_VIJAYAWADA,2003,0,0,0.0,0,0,0,18,6,19,7,50.0
ANDHRA PRADESH_VIJAYAWADA,2004,0,0,0.0,0,0,0,12,0,0,5,17.0
ANDHRA PRADESH_VIJAYAWADA,2005,0,0,0.0,0,0,0,1,0,0,3,4.0
ANDHRA PRADESH_VIJAYAWADA,2006,0,0,0.0,0,0,0,10,1,0,7,18.0
ANDHRA PRADESH_VIJAYAWADA,2007,0,1,0.0,0,0,0,19,1,0,15,36.0
ANDHRA PRADESH_VIJAYAWADA,2008,1,1,0.0,0,0,1,22,0,0,11,36.0
ANDHRA PRADESH_VIJAYAWADA,2009,0,1,0.0,0,0,0,25,0,0,14,40.0
ANDHRA PRADESH_VIJAYAWADA,2010,1,0,0.0,0,0,0,11,0,0,18,30.0
ANDHRA PRADESH_VISAKHA RURAL,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_VISAKHA RURAL,2002,0,1,0.0,0,0,0,0,0,0,0,1.0
ANDHRA PRADESH_VISAKHA RURAL,2003,0,2,0.0,0,0,0,0,0,0,0,2.0
ANDHRA PRADESH_VISAKHA RURAL,2004,0,2,0.0,0,0,0,0,1,0,0,3.0
ANDHRA PRADESH_VISAKHA RURAL,2005,0,0,0.0,0,0,0,0,3,0,3,6.0
ANDHRA PRADESH_VISAKHA RURAL,2006,0,0,0.0,0,0,0,0,3,0,0,3.0
ANDHRA PRADESH_VISAKHA RURAL,2007,0,0,0.0,0,0,0,0,8,0,0,8.0
ANDHRA PRADESH_VISAKHA RURAL,2008,0,0,0.0,0,0,0,0,17,0,0,17.0
ANDHRA PRADESH_VISAKHA RURAL,2009,0,0,0.0,0,0,0,0,9,0,0,9.0
ANDHRA PRADESH_VISAKHA RURAL,2010,0,3,0.0,0,0,0,5,22,0,30,60.0
ANDHRA PRADESH_VISAKHAPATNAM,2001,0,0,0.0,0,0,0,0,2,0,0,2.0
ANDHRA PRADESH_VISAKHAPATNAM,2002,0,0,0.0,0,0,0,0,2,0,0,2.0
ANDHRA PRADESH_VISAKHAPATNAM,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_VISAKHAPATNAM,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_VISAKHAPATNAM,2005,0,1,0.0,0,0,0,0,1,0,0,2.0
ANDHRA PRADESH_VISAKHAPATNAM,2006,0,1,0.0,0,0,0,0,0,0,0,1.0
