STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH_NIZAMABAD,2001,359.0,21,21,19,55,15,228,0
ANDHRA PRADESH_NIZAMABAD,2002,446.0,35,21,17,71,24,278,0
ANDHRA PRADESH_NIZAMABAD,2003,472.0,29,7,11,61,32,329,3
ANDHRA PRADESH_NIZAMABAD,2004,519.0,24,19,17,74,46,339,0
ANDHRA PRADESH_NIZAMABAD,2005,613.0,26,32,16,88,41,410,0
ANDHRA PRADESH_NIZAMABAD,2006,710.0,36,46,18,115,64,431,0
ANDHRA PRADESH_NIZAMABAD,2007,698.0,23,48,25,88,59,455,0
ANDHRA PRADESH_NIZAMABAD,2008,532.0,31,25,16,70,85,305,0
ANDHRA PRADESH_NIZAMABAD,2009,759.0,27,41,19,79,75,518,0
ANDHRA PRADESH_NIZAMABAD,2010,948.0,62,50,21,114,75,626,0
ANDHRA PRADESH_PRAKASHAM,2001,395.0,19,12,5,140,100,119,0
ANDHRA PRADESH_PRAKASHAM,2002,367.0,21,25,5,156,18,142,0
ANDHRA PRADESH_PRAKASHAM,2003,462.0,22,31,13,133,149,114,0
ANDHRA PRADESH_PRAKASHAM,2004,362.0,19,37,6,130,24,146,0
ANDHRA PRADESH_PRAKASHAM,2005,429.0,27,43,7,169,27,156,0
ANDHRA PRADESH_PRAKASHAM,2006,616.0,23,68,8,200,68,249,0
ANDHRA PRADESH_PRAKASHAM,2007,810.0,40,65,7,171,266,261,0
ANDHRA PRADESH_PRAKASHAM,2008,547.0,30,53,5,192,38,229,0
ANDHRA PRADESH_PRAKASHAM,2009,581.0,27,44,14,197,51,248,0
ANDHRA PRADESH_PRAKASHAM,2010,608.0,29,65,13,253,32,216,0
ANDHRA PRADESH_RAJAHMUNDRY,2001,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2002,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2003,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2004,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2005,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2006,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2007,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2008,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2009,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_RAJAHMUNDRY,2010,208.0,10,12,4,47,39,96,0
ANDHRA PRADESH_RANGAREDDY,2001,788.0,72,83,37,113,55,421,7
ANDHRA PRADESH_RANGAREDDY,2002,914.0,49,70,51,143,93,508,0
ANDHRA PRADESH_RANGAREDDY,2003,1072.0,45,76,37,167,90,656,1
ANDHRA PRADESH_RANGAREDDY,2004,1124.0,65,91,60,155,100,653,0
ANDHRA PRADESH_RANGAREDDY,2005,1283.0,59,72,56,164,109,820,3
ANDHRA PRADESH_RANGAREDDY,2006,1422.0,69,100,65,182,102,904,0
ANDHRA PRADESH_RANGAREDDY,2007,1439.0,66,110,66,158,65,974,0
ANDHRA PRADESH_RANGAREDDY,2008,2340.0,117,114,78,169,858,1004,0
