STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
MADHYA PRADESH_JABALPUR RLY.,2004,14.0,7,0,0,5,2,0,0
MADHYA PRADESH_JABALPUR RLY.,2005,13.0,0,0,2,10,1,0,0
MADHYA PRADESH_JABALPUR RLY.,2006,12.0,1,1,0,7,3,0,0
MADHYA PRADESH_JABALPUR RLY.,2007,10.0,1,0,0,5,4,0,0
MADHYA PRADESH_JABALPUR RLY.,2008,10.0,1,1,0,7,1,0,0
MADHYA PRADESH_JABALPUR RLY.,2009,11.0,1,1,0,6,2,1,0
MADHYA PRADESH_JABALPUR RLY.,2010,8.0,5,1,0,1,1,0,0
MADHYA PRADESH_JHABUA,2001,284.0,44,80,5,127,4,24,0
MADHYA PRADESH_JHABUA,2002,221.0,29,62,3,119,0,8,0
MADHYA PRADESH_JHABUA,2003,205.0,36,35,0,112,10,12,0
MADHYA PRADESH_JHABUA,2004,150.0,22,42,1,73,0,12,0
MADHYA PRADESH_JHABUA,2005,153.0,37,43,1,62,2,8,0
MADHYA PRADESH_JHABUA,2006,123.0,32,17,4,46,2,22,0
MADHYA PRADESH_JHABUA,2007,134.0,35,14,3,66,0,16,0
MADHYA PRADESH_JHABUA,2008,94.0,31,18,4,32,0,9,0
MADHYA PRADESH_JHABUA,2009,104.0,30,18,5,42,0,9,0
MADHYA PRADESH_JHABUA,2010,98.0,35,12,1,45,0,5,0
MADHYA PRADESH_KATNI,2001,216.0,25,3,11,106,12,59,0
MADHYA PRADESH_KATNI,2002,251.0,37,2,5,133,9,65,0
MADHYA PRADESH_KATNI,2003,271.0,37,4,17,137,15,61,0
MADHYA PRADESH_KATNI,2004,260.0,30,3,19,130,11,67,0
MADHYA PRADESH_KATNI,2005,243.0,46,3,30,104,10,50,0
MADHYA PRADESH_KATNI,2006,257.0,32,6,18,142,11,48,0
MADHYA PRADESH_KATNI,2007,272.0,44,8,22,129,11,58,0
MADHYA PRADESH_KATNI,2008,232.0,48,5,18,97,7,57,0
MADHYA PRADESH_KATNI,2009,300.0,48,10,21,117,17,87,0
MADHYA PRADESH_KATNI,2010,331.0,69,10,13,144,18,77,0
MADHYA PRADESH_KHANDWA,2001,334.0,63,12,11,184,15,49,0
MADHYA PRADESH_KHANDWA,2002,385.0,71,16,11,214,14,59,0
MADHYA PRADESH_KHANDWA,2003,278.0,53,18,6,157,21,23,0
MADHYA PRADESH_KHANDWA,2004,355.0,57,12,12,188,37,49,0
MADHYA PRADESH_KHANDWA,2005,376.0,56,34,8,197,22,59,0
MADHYA PRADESH_KHANDWA,2006,347.0,60,19,8,179,20,61,0
MADHYA PRADESH_KHANDWA,2007,323.0,64,13,4,152,30,60,0
MADHYA PRADESH_KHANDWA,2008,285.0,52,10,5,154,27,37,0
MADHYA PRADESH_KHANDWA,2009,293.0,70,12,6,149,19,37,0
MADHYA PRADESH_KHANDWA,2010,282.0,46,13,9,154,21,39,0
MADHYA PRADESH_KHARGON,2001,280.0,47,14,5,164,29,21,0
MADHYA PRADESH_KHARGON,2002,341.0,50,27,7,162,30,65,0
MADHYA PRADESH_KHARGON,2003,326.0,50,13,5,184,31,43,0
MADHYA PRADESH_KHARGON,2004,386.0,63,15,12,194,25,77,0
MADHYA PRADESH_KHARGON,2005,295.0,61,8,21,151,21,32,1
MADHYA PRADESH_KHARGON,2006,275.0,47,0,26,139,24,39,0
MADHYA PRADESH_KHARGON,2007,324.0,63,8,27,154,20,52,0
MADHYA PRADESH_KHARGON,2008,315.0,65,8,23,154,23,42,0
MADHYA PRADESH_KHARGON,2009,257.0,45,5,27,142,9,29,0
MADHYA PRADESH_KHARGON,2010,341.0,71,14,31,162,28,35,0
MADHYA PRADESH_MANDLA,2001,293.0,64,9,4,151,19,46,0
MADHYA PRADESH_MANDLA,2002,210.0,43,5,0,107,11,44,0
MADHYA PRADESH_MANDLA,2003,245.0,39,2,4,143,13,44,0
MADHYA PRADESH_MANDLA,2004,208.0,44,2,6,110,16,30,0
MADHYA PRADESH_MANDLA,2005,168.0,61,7,4,75,3,18,0
MADHYA PRADESH_MANDLA,2006,186.0,62,6,4,81,9,24,0
MADHYA PRADESH_MANDLA,2007,166.0,47,6,3,87,8,15,0
MADHYA PRADESH_MANDLA,2008,179.0,47,2,4,87,14,25,0
MADHYA PRADESH_MANDLA,2009,145.0,43,9,4,58,12,19,0
MADHYA PRADESH_MANDLA,2010,159.0,56,7,5,68,6,17,0
MADHYA PRADESH_MANDSAUR,2001,196.0,41,8,4,102,11,30,0
MADHYA PRADESH_MANDSAUR,2002,255.0,45,10,7,129,15,49,0
MADHYA PRADESH_MANDSAUR,2003,246.0,45,5,4,126,12,54,0
MADHYA PRADESH_MANDSAUR,2004,273.0,40,9,8,128,20,68,0
MADHYA PRADESH_MANDSAUR,2005,270.0,31,10,7,129,14,79,0
MADHYA PRADESH_MANDSAUR,2006,266.0,37,11,11,130,15,62,0
MADHYA PRADESH_MANDSAUR,2007,261.0,40,12,6,132,9,62,0
MADHYA PRADESH_MANDSAUR,2008,258.0,40,15,15,128,4,56,0
MADHYA PRADESH_MANDSAUR,2009,301.0,46,17,4,124,17,93,0
MADHYA PRADESH_MANDSAUR,2010,262.0,58,19,4,108,14,59,0
MADHYA PRADESH_MORENA,2001,195.0,35,18,29,77,2,34,0
MADHYA PRADESH_MORENA,2002,207.0,46,17,28,73,2,41,0
MADHYA PRADESH_MORENA,2003,221.0,40,21,23,93,3,41,0
MADHYA PRADESH_MORENA,2004,253.0,55,11,33,89,3,62,0
MADHYA PRADESH_MORENA,2005,245.0,32,20,27,89,3,74,0
MADHYA PRADESH_MORENA,2006,209.0,34,15,21,77,3,59,0
MADHYA PRADESH_MORENA,2007,273.0,39,24,26,104,2,78,0
MADHYA PRADESH_MORENA,2008,226.0,26,21,32,73,1,73,0
MADHYA PRADESH_MORENA,2009,251.0,31,29,37,83,5,66,0
MADHYA PRADESH_MORENA,2010,244.0,40,17,32,80,0,75,0
MADHYA PRADESH_NARSINGHPUR,2001,308.0,70,4,22,156,16,40,0
MADHYA PRADESH_NARSINGHPUR,2002,353.0,88,6,23,174,16,46,0
MADHYA PRADESH_NARSINGHPUR,2003,245.0,40,3,15,134,19,34,0
MADHYA PRADESH_NARSINGHPUR,2004,252.0,42,4,18,130,10,48,0
MADHYA PRADESH_NARSINGHPUR,2005,305.0,65,1,21,156,10,52,0
MADHYA PRADESH_NARSINGHPUR,2006,254.0,65,4,14,122,11,38,0
MADHYA PRADESH_NARSINGHPUR,2007,264.0,49,5,22,134,15,39,0
MADHYA PRADESH_NARSINGHPUR,2008,237.0,61,2,14,100,16,44,0
MADHYA PRADESH_NARSINGHPUR,2009,248.0,52,4,26,101,23,42,0
MADHYA PRADESH_NARSINGHPUR,2010,301.0,65,5,21,135,12,63,0
MADHYA PRADESH_NEEMUCH,2001,208.0,37,7,1,83,18,62,0
MADHYA PRADESH_NEEMUCH,2002,226.0,26,9,3,75,23,90,0
MADHYA PRADESH_NEEMUCH,2003,180.0,31,5,4,65,10,65,0
MADHYA PRADESH_NEEMUCH,2004,164.0,23,5,4,62,10,60,0
MADHYA PRADESH_NEEMUCH,2005,147.0,27,3,1,68,7,41,0
MADHYA PRADESH_NEEMUCH,2006,113.0,22,4,4,34,7,42,0
MADHYA PRADESH_NEEMUCH,2007,150.0,20,5,3,70,12,40,0
MADHYA PRADESH_NEEMUCH,2008,109.0,19,3,0,45,14,28,0
MADHYA PRADESH_NEEMUCH,2009,137.0,34,10,1,52,6,34,0
MADHYA PRADESH_NEEMUCH,2010,128.0,12,11,3,48,7,47,0
MADHYA PRADESH_PANNA,2001,210.0,44,10,19,104,2,31,0
MADHYA PRADESH_PANNA,2002,170.0,35,7,17,74,6,31,0
MADHYA PRADESH_PANNA,2003,177.0,32,4,21,92,2,26,0
MADHYA PRADESH_PANNA,2004,142.0,34,0,15,65,0,28,0
MADHYA PRADESH_PANNA,2005,150.0,33,4,14,85,0,13,1
MADHYA PRADESH_PANNA,2006,146.0,41,3,14,68,0,20,0
MADHYA PRADESH_PANNA,2007,141.0,26,6,7,77,6,19,0
MADHYA PRADESH_PANNA,2008,154.0,28,6,17,77,0,26,0
MADHYA PRADESH_PANNA,2009,165.0,31,4,22,76,0,32,0
MADHYA PRADESH_PANNA,2010,202.0,47,5,16,87,0,47,0
MADHYA PRADESH_RAISEN,2001,383.0,79,9,20,194,31,50,0
MADHYA PRADESH_RAISEN,2002,492.0,98,8,16,296,16,58,0
MADHYA PRADESH_RAISEN,2003,322.0,75,8,17,176,0,46,0
MADHYA PRADESH_RAISEN,2004,354.0,67,8,15,198,0,66,0
MADHYA PRADESH_RAISEN,2005,345.0,97,14,8,154,15,57,0
MADHYA PRADESH_RAISEN,2006,344.0,74,11,18,172,17,52,0
MADHYA PRADESH_RAISEN,2007,308.0,75,12,15,148,16,42,0
MADHYA PRADESH_RAISEN,2008,288.0,67,17,19,150,0,35,0
MADHYA PRADESH_RAISEN,2009,367.0,93,8,19,165,16,66,0
MADHYA PRADESH_RAISEN,2010,409.0,86,32,16,210,0,65,0
MADHYA PRADESH_RAJGARH,2001,382.0,95,9,7,196,26,49,0
MADHYA PRADESH_RAJGARH,2002,366.0,80,8,4,179,27,68,0
MADHYA PRADESH_RAJGARH,2003,361.0,88,5,2,163,20,83,0
MADHYA PRADESH_RAJGARH,2004,466.0,98,14,4,193,31,126,0
MADHYA PRADESH_RAJGARH,2005,375.0,75,15,4,158,31,92,0
MADHYA PRADESH_RAJGARH,2006,380.0,83,6,9,146,35,101,0
MADHYA PRADESH_RAJGARH,2007,533.0,100,16,12,227,34,144,0
MADHYA PRADESH_RAJGARH,2008,453.0,83,22,10,166,36,136,0
MADHYA PRADESH_RAJGARH,2009,358.0,68,27,9,153,25,76,0
MADHYA PRADESH_RAJGARH,2010,350.0,73,27,14,179,27,30,0
MADHYA PRADESH_RATLAM,2001,293.0,70,13,4,125,28,53,0
MADHYA PRADESH_RATLAM,2002,314.0,67,6,7,138,17,79,0
MADHYA PRADESH_RATLAM,2003,271.0,62,9,5,132,13,50,0
MADHYA PRADESH_RATLAM,2004,291.0,71,16,5,109,30,60,0
MADHYA PRADESH_RATLAM,2005,307.0,74,10,10,127,30,56,0
MADHYA PRADESH_RATLAM,2006,312.0,62,14,9,125,24,78,0
MADHYA PRADESH_RATLAM,2007,388.0,85,13,5,165,35,85,0
MADHYA PRADESH_RATLAM,2008,261.0,63,14,11,105,11,57,0
MADHYA PRADESH_RATLAM,2009,296.0,67,18,6,111,21,73,0
MADHYA PRADESH_RATLAM,2010,398.0,88,23,16,145,32,94,0
MADHYA PRADESH_REWA,2001,230.0,31,18,18,105,2,56,0
MADHYA PRADESH_REWA,2002,225.0,32,15,26,95,3,54,0
MADHYA PRADESH_REWA,2003,236.0,41,11,28,110,2,44,0
MADHYA PRADESH_REWA,2004,285.0,52,18,39,123,3,50,0
MADHYA PRADESH_REWA,2005,269.0,64,15,42,107,2,39,0
MADHYA PRADESH_REWA,2006,289.0,47,18,46,125,2,51,0
MADHYA PRADESH_REWA,2007,304.0,66,18,26,119,3,72,0
MADHYA PRADESH_REWA,2008,332.0,82,26,26,124,7,67,0
MADHYA PRADESH_REWA,2009,344.0,73,25,44,119,2,80,1
MADHYA PRADESH_REWA,2010,426.0,81,43,37,140,1,124,0
MADHYA PRADESH_SAGAR,2001,837.0,141,16,29,509,0,142,0
MADHYA PRADESH_SAGAR,2002,797.0,136,24,26,425,22,164,0
MADHYA PRADESH_SAGAR,2003,708.0,121,28,27,388,17,127,0
MADHYA PRADESH_SAGAR,2004,729.0,141,23,40,338,26,161,0
MADHYA PRADESH_SAGAR,2005,678.0,110,21,34,362,24,127,0
MADHYA PRADESH_SAGAR,2006,608.0,116,30,28,284,19,131,0
MADHYA PRADESH_SAGAR,2007,674.0,115,30,30,345,29,125,0
MADHYA PRADESH_SAGAR,2008,725.0,119,28,37,349,38,154,0
MADHYA PRADESH_SAGAR,2009,747.0,127,40,46,361,5,168,0
MADHYA PRADESH_SAGAR,2010,752.0,120,63,35,385,16,133,0
MADHYA PRADESH_SATNA,2001,310.0,58,5,19,157,6,65,0
MADHYA PRADESH_SATNA,2002,331.0,66,5,37,173,3,47,0
MADHYA PRADESH_SATNA,2003,346.0,59,5,33,187,5,57,0
MADHYA PRADESH_SATNA,2004,350.0,64,3,33,180,6,64,0
MADHYA PRADESH_SATNA,2005,382.0,75,3,34,195,9,66,0
MADHYA PRADESH_SATNA,2006,422.0,72,10,39,198,11,92,0
MADHYA PRADESH_SATNA,2007,438.0,84,17,38,191,7,101,0
MADHYA PRADESH_SATNA,2008,502.0,102,15,32,207,9,137,0
MADHYA PRADESH_SATNA,2009,527.0,145,18,40,194,11,119,0
MADHYA PRADESH_SATNA,2010,471.0,89,20,26,199,18,119,0
MADHYA PRADESH_SEONI,2001,218.0,52,2,10,106,23,25,0
MADHYA PRADESH_SEONI,2002,203.0,44,4,3,116,12,24,0
MADHYA PRADESH_SEONI,2003,176.0,54,1,6,86,4,25,0
MADHYA PRADESH_SEONI,2004,252.0,74,10,17,117,11,23,0
MADHYA PRADESH_SEONI,2005,277.0,57,8,22,142,11,37,0
MADHYA PRADESH_SEONI,2006,222.0,57,5,11,105,9,35,0
MADHYA PRADESH_SEONI,2007,203.0,51,6,8,96,23,19,0
MADHYA PRADESH_SEONI,2008,220.0,61,14,7,103,14,21,0
MADHYA PRADESH_SEONI,2009,209.0,61,8,15,85,14,26,0
MADHYA PRADESH_SEONI,2010,258.0,71,16,18,92,23,38,0
MADHYA PRADESH_SHAHDOL,2001,391.0,63,13,9,216,3,87,0
MADHYA PRADESH_SHAHDOL,2002,509.0,72,10,11,259,24,133,0
MADHYA PRADESH_SHAHDOL,2003,444.0,68,8,13,221,14,120,0
MADHYA PRADESH_SHAHDOL,2004,271.0,47,9,8,135,0,72,0
MADHYA PRADESH_SHAHDOL,2005,283.0,43,5,13,156,9,57,0
MADHYA PRADESH_SHAHDOL,2006,305.0,67,4,16,140,9,69,0
MADHYA PRADESH_SHAHDOL,2007,283.0,50,8,10,128,9,78,0
MADHYA PRADESH_SHAHDOL,2008,281.0,47,13,16,139,9,57,0
MADHYA PRADESH_SHAHDOL,2009,252.0,42,8,11,113,5,73,0
MADHYA PRADESH_SHAHDOL,2010,281.0,61,16,12,123,6,63,0
MADHYA PRADESH_SHAJAPUR,2001,360.0,90,8,8,153,36,65,0
MADHYA PRADESH_SHAJAPUR,2002,354.0,84,15,9,144,18,84,0
MADHYA PRADESH_SHAJAPUR,2003,371.0,71,9,10,166,36,79,0
MADHYA PRADESH_SHAJAPUR,2004,404.0,74,11,15,180,28,96,0
MADHYA PRADESH_SHAJAPUR,2005,348.0,73,10,6,173,22,64,0
MADHYA PRADESH_SHAJAPUR,2006,318.0,58,10,11,150,27,62,0
MADHYA PRADESH_SHAJAPUR,2007,346.0,67,11,7,163,33,65,0
MADHYA PRADESH_SHAJAPUR,2008,354.0,57,13,12,161,34,77,0
MADHYA PRADESH_SHAJAPUR,2009,331.0,79,13,8,138,22,71,0
MADHYA PRADESH_SHAJAPUR,2010,252.0,56,16,11,117,19,33,0
MADHYA PRADESH_SHEOPUR,2001,96.0,21,3,6,52,0,14,0
MADHYA PRADESH_SHEOPUR,2002,129.0,28,5,5,68,2,21,0
MADHYA PRADESH_SHEOPUR,2003,83.0,19,1,1,51,0,11,0
MADHYA PRADESH_SHEOPUR,2004,100.0,21,3,3,51,0,22,0
MADHYA PRADESH_SHEOPUR,2005,89.0,21,1,1,42,0,24,0
MADHYA PRADESH_SHEOPUR,2006,90.0,19,4,2,34,0,31,0
MADHYA PRADESH_SHEOPUR,2007,84.0,13,3,3,38,0,27,0
MADHYA PRADESH_SHEOPUR,2008,71.0,13,5,0,32,2,19,0
MADHYA PRADESH_SHEOPUR,2009,66.0,14,3,5,18,0,26,0
MADHYA PRADESH_SHEOPUR,2010,76.0,11,4,3,35,0,23,0
MADHYA PRADESH_SHIVPURI,2001,297.0,72,11,14,172,2,26,0
MADHYA PRADESH_SHIVPURI,2002,306.0,73,6,6,180,0,41,0
MADHYA PRADESH_SHIVPURI,2003,260.0,69,16,13,130,0,32,0
MADHYA PRADESH_SHIVPURI,2004,230.0,61,13,7,113,0,36,0
MADHYA PRADESH_SHIVPURI,2005,208.0,58,19,2,99,0,30,0
MADHYA PRADESH_SHIVPURI,2006,360.0,83,17,33,170,7,50,0
MADHYA PRADESH_SHIVPURI,2007,320.0,91,17,23,152,1,36,0
MADHYA PRADESH_SHIVPURI,2008,288.0,64,24,16,128,3,53,0
MADHYA PRADESH_SHIVPURI,2009,266.0,55,20,16,124,8,43,0
MADHYA PRADESH_SHIVPURI,2010,274.0,73,22,7,131,9,32,0
MADHYA PRADESH_SIDHI,2001,272.0,42,30,27,105,2,66,0
MADHYA PRADESH_SIDHI,2002,274.0,46,16,36,131,3,42,0
MADHYA PRADESH_SIDHI,2003,229.0,38,24,17,121,2,27,0
MADHYA PRADESH_SIDHI,2004,312.0,51,22,17,161,2,59,0
MADHYA PRADESH_SIDHI,2005,269.0,47,21,23,132,4,42,0
MADHYA PRADESH_SIDHI,2006,296.0,66,31,21,129,2,47,0
MADHYA PRADESH_SIDHI,2007,417.0,82,37,24,184,10,80,0
MADHYA PRADESH_SIDHI,2008,190.0,37,17,18,83,5,30,0
MADHYA PRADESH_SIDHI,2009,179.0,24,13,20,80,6,36,0
MADHYA PRADESH_SIDHI,2010,241.0,44,28,26,104,3,36,0
MADHYA PRADESH_SIHORE,2001,283.0,59,27,5,130,17,45,0
MADHYA PRADESH_SIHORE,2002,292.0,63,47,5,115,13,49,0
MADHYA PRADESH_SIHORE,2003,227.0,86,4,6,87,12,32,0
MADHYA PRADESH_SIHORE,2004,222.0,62,4,6,90,14,46,0
MADHYA PRADESH_SIHORE,2005,232.0,73,10,14,76,14,45,0
MADHYA PRADESH_SIHORE,2006,244.0,66,11,14,99,6,48,0
MADHYA PRADESH_SIHORE,2007,221.0,56,15,9,94,9,38,0
MADHYA PRADESH_SIHORE,2008,245.0,57,18,8,89,16,57,0
MADHYA PRADESH_SIHORE,2009,246.0,63,23,9,88,16,47,0
MADHYA PRADESH_SIHORE,2010,345.0,70,26,10,135,15,89,0
MADHYA PRADESH_SINGRAULI,2001,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2002,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2003,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2004,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2005,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2006,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2007,0.0,0,0,0,0,0,0,0
MADHYA PRADESH_SINGRAULI,2008,189.0,40,12,22,87,1,27,0
MADHYA PRADESH_SINGRAULI,2009,241.0,45,14,16,92,2,72,0
MADHYA PRADESH_SINGRAULI,2010,291.0,46,24,15,119,2,85,0
MADHYA PRADESH_TIKAMGARH,2001,311.0,86,4,15,177,2,27,0
MADHYA PRADESH_TIKAMGARH,2002,284.0,51,7,20,161,5,40,0
MADHYA PRADESH_TIKAMGARH,2003,199.0,50,5,20,98,5,21,0
MADHYA PRADESH_TIKAMGARH,2004,249.0,43,5,24,133,7,37,0
MADHYA PRADESH_TIKAMGARH,2005,203.0,40,6,18,106,5,28,0
MADHYA PRADESH_TIKAMGARH,2006,248.0,52,5,22,131,4,34,0
MADHYA PRADESH_TIKAMGARH,2007,279.0,63,15,14,148,0,39,0
MADHYA PRADESH_TIKAMGARH,2008,215.0,35,10,25,107,2,36,0
MADHYA PRADESH_TIKAMGARH,2009,288.0,67,12,18,136,3,52,0
MADHYA PRADESH_TIKAMGARH,2010,315.0,78,16,15,143,4,59,0
MADHYA PRADESH_UJJAIN,2001,402.0,59,33,7,161,33,109,0
MADHYA PRADESH_UJJAIN,2002,428.0,68,27,9,156,28,140,0
MADHYA PRADESH_UJJAIN,2003,424.0,59,34,7,172,27,125,0
MADHYA PRADESH_UJJAIN,2004,520.0,65,27,13,187,36,192,0
MADHYA PRADESH_UJJAIN,2005,492.0,74,14,17,172,41,173,1
MADHYA PRADESH_UJJAIN,2006,496.0,79,34,12,175,39,157,0
MADHYA PRADESH_UJJAIN,2007,525.0,79,29,14,168,36,199,0
MADHYA PRADESH_UJJAIN,2008,536.0,78,25,23,215,37,158,0
MADHYA PRADESH_UJJAIN,2009,511.0,46,23,20,167,45,210,0
MADHYA PRADESH_UJJAIN,2010,559.0,77,48,20,179,42,193,0
MADHYA PRADESH_UMARIYA,2001,116.0,25,2,2,61,5,21,0
MADHYA PRADESH_UMARIYA,2002,129.0,20,1,7,65,5,31,0
MADHYA PRADESH_UMARIYA,2003,109.0,20,0,5,59,3,22,0
MADHYA PRADESH_UMARIYA,2004,132.0,30,1,6,63,8,24,0
MADHYA PRADESH_UMARIYA,2005,114.0,34,0,1,55,5,19,0
MADHYA PRADESH_UMARIYA,2006,98.0,21,0,4,56,4,13,0
MADHYA PRADESH_UMARIYA,2007,130.0,37,1,3,68,1,20,0
MADHYA PRADESH_UMARIYA,2008,112.0,25,2,5,60,7,13,0
MADHYA PRADESH_UMARIYA,2009,127.0,29,3,3,54,0,38,0
MADHYA PRADESH_UMARIYA,2010,124.0,23,1,3,72,0,25,0
MADHYA PRADESH_VIDISHA,2001,454.0,112,6,13,245,22,56,0
MADHYA PRADESH_VIDISHA,2002,442.0,114,16,8,231,19,54,0
MADHYA PRADESH_VIDISHA,2003,374.0,94,7,12,197,24,40,0
MADHYA PRADESH_VIDISHA,2004,400.0,100,10,11,203,18,58,0
MADHYA PRADESH_VIDISHA,2005,391.0,97,14,27,199,9,45,0
MADHYA PRADESH_VIDISHA,2006,362.0,85,14,15,180,23,45,0
MADHYA PRADESH_VIDISHA,2007,453.0,100,18,20,212,18,85,0
MADHYA PRADESH_VIDISHA,2008,423.0,93,13,24,205,25,63,0
MADHYA PRADESH_VIDISHA,2009,445.0,80,13,19,216,30,87,0
MADHYA PRADESH_VIDISHA,2010,491.0,81,18,17,239,22,114,0
MAHARASHTRA_AHMEDNAGAR,2001,641.0,44,25,0,74,2,496,0
MAHARASHTRA_AHMEDNAGAR,2002,428.0,45,20,8,75,0,280,0
MAHARASHTRA_AHMEDNAGAR,2003,413.0,44,13,15,51,3,287,0
MAHARASHTRA_AHMEDNAGAR,2004,404.0,41,13,0,73,0,277,0
MAHARASHTRA_AHMEDNAGAR,2005,510.0,56,25,0,91,0,338,0
MAHARASHTRA_AHMEDNAGAR,2006,686.0,68,22,0,129,0,467,0
MAHARASHTRA_AHMEDNAGAR,2007,702.0,55,25,3,132,12,475,0
MAHARASHTRA_AHMEDNAGAR,2008,748.0,49,33,0,125,4,537,0
MAHARASHTRA_AHMEDNAGAR,2009,743.0,55,25,0,106,0,557,0
MAHARASHTRA_AHMEDNAGAR,2010,832.0,57,45,10,115,1,604,0
MAHARASHTRA_AKOLA,2001,336.0,15,14,2,109,7,189,0
MAHARASHTRA_AKOLA,2002,285.0,28,16,4,70,11,156,0
MAHARASHTRA_AKOLA,2003,284.0,29,29,9,80,5,132,0
MAHARASHTRA_AKOLA,2004,321.0,38,21,6,94,15,147,0
MAHARASHTRA_AKOLA,2005,326.0,21,22,3,82,14,184,0
MAHARASHTRA_AKOLA,2006,296.0,25,26,1,95,14,135,0
MAHARASHTRA_AKOLA,2007,339.0,22,15,3,86,48,165,0
MAHARASHTRA_AKOLA,2008,391.0,26,33,7,111,61,153,0
MAHARASHTRA_AKOLA,2009,348.0,21,26,10,97,63,131,0
MAHARASHTRA_AKOLA,2010,364.0,25,23,12,100,55,149,0
MAHARASHTRA_AMRAVATI,2001,480.0,65,48,14,142,64,147,0
MAHARASHTRA_AMRAVATI,2002,503.0,84,31,9,165,51,163,0
MAHARASHTRA_AMRAVATI,2003,543.0,73,27,11,163,41,228,0
MAHARASHTRA_AMRAVATI,2004,489.0,73,37,10,167,44,158,0
MAHARASHTRA_AMRAVATI,2005,515.0,83,24,12,153,54,189,0
MAHARASHTRA_AMRAVATI,2006,527.0,65,35,7,154,59,207,0
MAHARASHTRA_AMRAVATI,2007,515.0,65,38,14,153,48,197,0
MAHARASHTRA_AMRAVATI,2008,555.0,69,27,7,178,43,231,0
MAHARASHTRA_AMRAVATI,2009,572.0,66,47,1,149,61,248,0
MAHARASHTRA_AMRAVATI,2010,634.0,60,57,5,231,50,231,0
MAHARASHTRA_AURANGABAD,2001,531.0,42,20,10,86,24,349,0
MAHARASHTRA_AURANGABAD,2002,480.0,20,20,31,66,25,318,0
MAHARASHTRA_AURANGABAD,2003,486.0,22,17,36,73,18,320,0
MAHARASHTRA_AURANGABAD,2004,525.0,22,20,25,78,23,357,0
MAHARASHTRA_AURANGABAD,2005,526.0,35,14,28,75,18,356,0
MAHARASHTRA_AURANGABAD,2006,601.0,43,25,42,95,34,362,0
MAHARASHTRA_AURANGABAD,2007,715.0,32,33,50,128,45,427,0
MAHARASHTRA_AURANGABAD,2008,627.0,42,37,43,116,25,364,0
MAHARASHTRA_AURANGABAD,2009,632.0,36,21,33,110,25,407,0
MAHARASHTRA_AURANGABAD,2010,733.0,39,42,31,108,53,460,0
MAHARASHTRA_BEED,2001,309.0,22,15,2,78,15,177,0
MAHARASHTRA_BEED,2002,253.0,25,10,2,51,7,158,0
MAHARASHTRA_BEED,2003,298.0,25,11,10,58,8,186,0
MAHARASHTRA_BEED,2004,385.0,24,16,4,82,13,246,0
MAHARASHTRA_BEED,2005,439.0,25,18,7,99,15,275,0
MAHARASHTRA_BEED,2006,477.0,24,23,12,98,10,310,0
MAHARASHTRA_BEED,2007,528.0,23,37,18,91,6,353,0
MAHARASHTRA_BEED,2008,494.0,26,22,11,92,11,332,0
MAHARASHTRA_BEED,2009,540.0,26,20,16,79,10,389,0
MAHARASHTRA_BEED,2010,526.0,28,29,11,87,11,360,0
MAHARASHTRA_BHANDARA,2001,213.0,39,1,5,71,37,60,0
MAHARASHTRA_BHANDARA,2002,214.0,32,15,3,57,37,70,0
MAHARASHTRA_BHANDARA,2003,204.0,41,6,7,54,27,69,0
MAHARASHTRA_BHANDARA,2004,210.0,36,16,1,66,39,52,0
MAHARASHTRA_BHANDARA,2005,197.0,15,14,3,64,34,67,0
MAHARASHTRA_BHANDARA,2006,226.0,40,10,4,54,29,89,0
MAHARASHTRA_BHANDARA,2007,175.0,19,4,2,55,27,68,0
MAHARASHTRA_BHANDARA,2008,199.0,26,13,0,69,18,73,0
MAHARASHTRA_BHANDARA,2009,145.0,17,12,4,31,13,68,0
MAHARASHTRA_BHANDARA,2010,155.0,24,13,3,42,12,61,0
MAHARASHTRA_BULDHANA,2001,437.0,22,18,35,118,21,223,0
MAHARASHTRA_BULDHANA,2002,351.0,30,14,17,107,21,162,0
MAHARASHTRA_BULDHANA,2003,409.0,39,13,61,106,26,164,0
MAHARASHTRA_BULDHANA,2004,407.0,39,16,18,106,33,195,0
MAHARASHTRA_BULDHANA,2005,448.0,42,16,53,110,40,187,0
MAHARASHTRA_BULDHANA,2006,402.0,23,5,13,128,41,192,0
MAHARASHTRA_BULDHANA,2007,482.0,39,20,12,124,31,256,0
MAHARASHTRA_BULDHANA,2008,512.0,36,25,9,153,39,250,0
MAHARASHTRA_BULDHANA,2009,481.0,27,23,27,128,55,221,0
MAHARASHTRA_BULDHANA,2010,437.0,29,18,34,131,40,185,0
MAHARASHTRA_CHANDRAPUR,2001,326.0,43,7,2,102,28,144,0
