STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total_Crimes
ANDHRA PRADESH_KHAMMAM,2010,1.0,16.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,85.0
ANDHRA PRADESH_KRISHNA,2001,1.0,11.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0
ANDHRA PRADESH_KRISHNA,2002,4.0,11.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,27.0
ANDHRA PRADESH_KRISHNA,2003,5.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,48.0
ANDHRA PRADESH_KRISHNA,2004,4.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0
ANDHRA PRADESH_KRISHNA,2005,1.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0
ANDHRA PRADESH_KRISHNA,2006,6.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,32.0
ANDHRA PRADESH_KRISHNA,2007,2.0,19.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.0,77.0
ANDHRA PRADESH_KRISHNA,2008,1.0,13.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,74.0
ANDHRA PRADESH_KRISHNA,2009,1.0,22.0,30.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,56.0,116.0
ANDHRA PRADESH_KRISHNA,2010,2.0,23.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,102.0
ANDHRA PRADESH_KURNOOL,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_KURNOOL,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ANDHRA PRADESH_KURNOOL,2003,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
ANDHRA PRADESH_KURNOOL,2004,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
ANDHRA PRADESH_KURNOOL,2005,2.0,23.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0
ANDHRA PRADESH_KURNOOL,2006,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0
ANDHRA PRADESH_KURNOOL,2007,4.0,23.0,50.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,86.0
ANDHRA PRADESH_KURNOOL,2008,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
ANDHRA PRADESH_KURNOOL,2009,2.0,19.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
ANDHRA PRADESH_KURNOOL,2010,2.0,25.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0
ANDHRA PRADESH_MAHABOOBNAGAR,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_MAHABOOBNAGAR,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_MAHABOOBNAGAR,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_MAHABOOBNAGAR,2004,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
ANDHRA PRADESH_MAHABOOBNAGAR,2005,0.0,34.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,51.0
ANDHRA PRADESH_MAHABOOBNAGAR,2006,0.0,11.0,6.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,32.0
ANDHRA PRADESH_MAHABOOBNAGAR,2007,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
ANDHRA PRADESH_MAHABOOBNAGAR,2008,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0
ANDHRA PRADESH_MAHABOOBNAGAR,2009,5.0,48.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,133.0
ANDHRA PRADESH_MAHABOOBNAGAR,2010,14.0,58.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
ANDHRA PRADESH_MEDAK,2001,1.0,18.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,34.0
ANDHRA PRADESH_MEDAK,2002,7.0,13.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,34.0
ANDHRA PRADESH_MEDAK,2003,5.0,21.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
ANDHRA PRADESH_MEDAK,2004,10.0,37.0,8.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,69.0
ANDHRA PRADESH_MEDAK,2005,3.0,15.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,27.0
ANDHRA PRADESH_MEDAK,2006,13.0,29.0,18.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,70.0
ANDHRA PRADESH_MEDAK,2007,4.0,24.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,42.0
ANDHRA PRADESH_MEDAK,2008,5.0,13.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,36.0
